X1	X2	X3	X4	X5	Y1	Y2	Y3	Y4	Y5	Y6	Y7
3.1	3.1	3.5	4.5	3.8	124.0	81.0	205.0	51.0	18.0	15.0	23.0
2.2	4.2	3.6	4.1	2.4	130.0	89.0	219.0	62.0	0.0	0.0	12.0
3.2	3.3	1.8	3.4	3.4	115.0	69.0	184.0	51.0	11.0	12.0	24.0
3.1	3.4	2.9	3.0	2.6	111.0	81.0	192.0	51.0	20.0	16.0	30.0
2.3	3.4	3.2	3.9	2.4	120.0	80.0	200.0	60.0	20.0	16.0	30.0
3.2	3.9	3.7	3.6	3.4	131.0	83.0	214.0	56.0	20.0	21.0	30.0
2.2	4.4	3.9	4.4	2.6	131.0	82.0	213.0	56.0	19.0	19.0	33.0
3.1	3.6	2.8	3.8	2.6	132.0	88.0	220.0	56.0	21.0	19.0	32.0
4.0	3.6	3.8	2.1	1.9	146.0	68.0	214.0	56.0	12.0	10.0	31.0
2.6	3.8	2.8	3.8	2.3	131.0	83.0	214.0	55.0	0.0	0.0	34.0
1.6	2.9	2.9	3.4	1.8	126.0	79.0	205.0	67.0	0.0	0.0	32.0
3.2	3.8	3.5	3.6	3.1	142.0	88.0	230.0	48.0	18.0	18.0	35.0
1.9	3.1	3.0	2.8	1.5	141.1	112.0	253.1	74.0	16.0	22.0	34.0
1.7	2.8	2.9	3.5	2.9	114.0	81.0	195.0	59.0	21.0	20.0	24.0
2.1	3.2	2.9	3.8	3.4	111.0	103.0	214.0	53.0	17.0	21.0	28.0
1.7	2.9	3.2	3.6	2.5	123.0	80.0	203.0	57.0	21.0	21.0	28.0
1.8	3.2	2.8	4.1	3.1	146.0	91.0	237.0	57.0	20.0	20.0	30.0
2.5	3.6	3.1	3.6	2.6	133.0	81.0	214.0	62.0	26.0	27.0	40.0
2.5	3.3	3.6	3.6	3.1	121.0	94.0	215.0	56.0	18.0	19.0	29.0
1.6	4.3	4.6	4.3	2.5	165.3	111.4	276.7	74.0	24.0	23.0	10.0
1.7	3.3	3.2	3.9	2.4	133.0	87.0	220.0	61.0	24.0	20.0	34.0
3.2	3.6	3.0	3.4	3.4	111.0	77.0	188.0	48.0	20.0	16.0	27.0
2.2	3.1	3.3	4.5	2.8	144.0	90.0	234.0	58.0	30.0	25.0	28.0
2.7	3.4	3.8	2.5	2.0	129.0	91.0	220.0	67.0	23.0	17.0	38.0
2.5	3.4	3.1	3.4	1.9	127.0	82.0	209.0	57.0	24.0	20.0	29.0
2.9	4.0	3.1	4.8	2.6	103.0	77.0	180.0	50.0	20.0	15.0	35.0
2.9	2.9	4.2	3.9	2.9	115.0	85.0	200.0	60.0	25.0	21.0	27.0
1.5	3.8	4.4	4.4	2.1	123.0	93.0	216.0	59.0	31.0	23.0	31.0
2.1	3.1	4.0	3.8	2.5	95.0	71.0	166.0	61.0	26.0	18.0	33.0
2.3	3.8	3.5	4.5	3.1	118.0	86.0	204.0	50.0	23.0	22.0	30.0
2.9	2.7	3.5	3.5	2.5	106.0	79.0	185.0	50.0	13.0	16.0	30.0
2.6	3.4	3.8	4.0	2.1	136.0	82.0	218.0	59.0	26.0	22.0	30.0
2.2	3.1	3.4	3.1	1.9	113.0	77.0	190.0	60.0	18.0	16.0	29.0
2.1	2.4	4.8	3.1	1.5	144.0	113.0	257.0	58.0	31.0	21.0	33.0
3.8	3.4	4.0	3.0	2.1	131.0	97.0	228.0	59.0	20.0	18.0	33.0
2.2	3.8	4.4	4.1	1.9	142.0	77.0	219.0	60.0	27.0	23.0	36.0
3.4	2.6	4.4	2.5	2.0	114.7	77.0	191.7	67.0	21.0	15.0	31.0
3.0	2.8	3.7	3.1	1.4	117.0	68.0	185.0	59.0	16.0	19.0	29.0
3.3	2.9	3.9	2.5	2.8	101.0	57.0	158.0	56.0	19.0	20.0	30.0
3.5	2.9	4.1	3.3	2.6	99.0	74.0	173.0	37.0	21.0	13.0	24.0
2.1	4.9	3.1	3.8	4.5	114.0	73.0	187.0	47.0	14.0	13.0	33.0
3.5	3.1	4.1	4.0	2.4	144.0	100.0	244.0	60.0	14.0	18.0	37.0
3.5	3.1	3.9	3.0	3.4	114.0	75.0	189.0	59.0	22.0	14.0	27.0
2.5	3.5	3.9	4.0	2.5	157.0	83.4	240.4	62.0	10.0	17.0	31.0
1.8	2.4	4.6	3.0	1.3	0.0	0.0	0.0	65.0	19.0	20.0	35.0
2.5	3.8	4.2	3.5	1.8	140.0	114.0	254.0	74.0	22.0	25.0	39.0
1.9	3.3	3.7	3.6	2.4	115.0	81.0	196.0	59.0	18.0	17.0	31.0
2.2	3.1	3.4	4.4	1.5	129.0	89.0	218.0	58.0	25.0	17.0	35.0
1.9	4.5	3.7	3.9	3.0	142.0	100.0	242.0	70.0	23.0	22.0	39.0
2.5	2.9	3.9	3.5	2.1	115.0	81.0	196.0	54.0	17.0	15.0	26.0
2.5	4.5	2.9	4.0	2.1	137.0	83.0	220.0	70.0	25.0	25.0	35.0
2.1	4.0	2.9	4.5	3.0	115.0	97.0	212.0	59.0	22.0	17.0	34.0
4.2	3.3	3.5	3.0	3.8	93.0	74.0	167.0	39.0	11.0	13.0	26.0
2.6	3.7	3.0	4.3	3.1	120.0	90.0	210.0	61.0	22.0	18.0	29.0
2.6	3.2	4.3	4.8	2.8	121.0	85.0	206.0	52.0	19.0	15.0	29.0
1.5	2.4	3.6	4.3	1.5	148.0	105.0	253.0	68.0	29.0	28.0	37.0
3.2	3.3	3.6	4.3	2.6	127.0	90.0	217.0	47.0	30.0	16.0	28.0
3.5	1.5	4.0	2.1	3.3	118.0	63.0	181.0	50.0	8.0	4.0	24.0
3.1	3.2	3.6	3.8	2.9	116.0	71.0	187.0	52.0	18.0	16.0	26.0
2.4	3.8	2.9	4.0	2.5	116.0	77.0	193.0	64.0	16.0	20.0	28.0
3.5	2.8	3.1	3.4	1.6	119.0	81.0	200.0	60.0	19.0	19.0	29.0
2.1	3.8	3.2	4.0	2.6	112.0	86.0	198.0	57.0	20.0	23.0	34.0
1.9	3.3	3.7	3.8	1.8	136.0	75.0	211.0	67.0	34.0	26.0	32.0
1.9	4.1	2.7	4.5	2.6	101.0	73.0	174.0	52.0	21.0	16.0	31.0
2.5	3.6	2.7	3.9	2.6	107.0	74.0	181.0	49.0	21.0	18.0	28.0
3.4	4.1	2.9	3.3	3.5	129.0	85.0	214.0	54.0	25.0	20.0	26.0
2.7	3.8	3.3	3.9	2.1	124.0	89.0	213.0	60.0	16.0	19.0	32.0
1.2	3.6	3.6	3.0	2.3	148.0	79.0	227.0	65.0	33.0	28.0	40.0
2.5	3.7	3.8	3.3	2.3	141.0	99.0	240.0	60.0	27.0	24.0	34.0
3.3	3.7	3.8	3.3	3.0	115.0	79.0	194.0	62.0	22.0	17.0	29.0
2.7	3.6	3.4	3.1	3.3	123.0	92.0	215.0	63.0	23.0	16.0	25.0
2.2	2.8	3.7	3.9	2.1	114.0	79.0	193.0	66.0	30.0	24.0	36.0
3.0	3.2	2.4	2.5	2.5	103.0	87.0	190.0	52.0	24.0	18.0	25.0
2.8	3.4	3.6	4.3	3.3	109.0	79.0	188.0	52.0	19.0	20.0	29.0
2.6	3.5	2.9	3.6	2.8	107.0	83.0	190.0	51.0	22.0	19.0	33.0
3.9	2.6	2.9	1.9	3.8	118.0	70.0	188.0	37.0	8.0	7.0	24.0
2.0	2.7	3.4	3.1	2.4	96.0	57.0	153.0	49.0	34.0	25.0	38.0
2.6	3.8	3.5	3.8	3.1	108.0	83.0	191.0	57.0	16.0	20.0	27.0
2.8	3.9	4.0	4.6	2.8	121.0	69.0	190.0	50.0	13.0	16.0	30.0
2.0	4.3	2.2	3.9	2.3	117.0	79.0	196.0	56.0	24.0	15.0	34.0
