	v1A1	v2A1	v3A1	v4A1	v5A1	v6A1	v7A1	v8A1	v9A1	v10A1	v11A1	v12A1	v13A1	v14A1	v15A1
lue0038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0044	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0054	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0058	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0063	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
lue0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0068a	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
lue0072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0075	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
lue0078	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
lue0080	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
lue0083	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue002a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue003a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue004a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue005a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue006a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue007a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue008a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue010a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue011a	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue012a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue013a	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
